source_database,source_scope,source_id,locality,rock_formation,country,lat,long,nominal_age_ma,age_high_ma,age_low_ma,n_sites,n_total,quality_q,dec,inc,primary_reference,doi_or_url,time_interval,data_type,proposal_window_145_66,notes
Engbers et al. 2024 PSVP,site-level Excel aggregated to locality level,PSVP-L9,Deccan Traps,,India,18.961212,73.508485,66.0,68.0,64.0,165,1310,,153.657,50.706,"Engbers et al. (2024); original studies: Chenet, A., Courtillot, V., Fluteau, F., Gérard, M., Quidelleur, X., Khadri, S.F.R., Subbaro, K.V., Thordarson, Thor; Chenet, A., Fluteau, F., Courtillot, V., Gérard, M., Subbaro, K.V.",https://doi.org/10.1029/2006JB004635; https://doi.org/10.1029/2008JB005644,Late Cretaceous post-CNS / terminal interval,PSV/directional locality,yes,"Aggregated from 165 Engbers site rows; study IDs: 12, 13"
Engbers et al. 2024 PSVP,site-level Excel aggregated to locality level,PSVP-L10,Autlan Volcanic Sequence,,Mexico,19.75,-104.3,67.4,68.60000000000001,66.2,24,159,,333.246,50.133,"Engbers et al. (2024); original studies: Cervantes-Solano, M., Kapper, L., Goguitchaichvili, A., Ruiz-Martínez, V.C., Rosas-Elguera, J., Morales, J., Maciel-Peña, R., Cejudo-Ruiz, R.",https://doi.org/10.1007/s11200-016-1027-x,Late Cretaceous post-CNS / terminal interval,PSV/directional locality,yes,Aggregated from 24 Engbers site rows; study IDs: 14
Engbers et al. 2024 PSVP,site-level Excel aggregated to locality level,PSVP-L17,Shiquanhe,,Tibet,32.343111,80.113111,69.5,72.1,66.30000000000001,45,310,,44.091,31.765,"Engbers et al. (2024); original studies: Ma, Y., Yang, T., Bian, W., Jin, J., Wang, Q., Zhang, S., Wu, H., Li, H., Cao, L., Yuan, H., Ding, J.",https://doi.org/10.1002/2017JB014743,Late Cretaceous post-CNS / terminal interval,PSV/directional locality,yes,Aggregated from 45 Engbers site rows; study IDs: 21
Engbers et al. 2024 PSVP,site-level Excel aggregated to locality level,PSVP-L41,Cordillera,,Canada,62.370769,137.647692,70.0,72.0,69.0,13,120,,192.8,-50.37,"Engbers et al. (2024); original studies: Wynne, P.J., Enkin, R.J., Baker, J., Johnston, S.T., Hart, C.J.R.",https://doi.org/10.1139/e98-014,Late Cretaceous post-CNS / terminal interval,PSV/directional locality,yes,Aggregated from 13 Engbers site rows; study IDs: 42
Engbers et al. 2024 PSVP,site-level Excel aggregated to locality level,PSVP-L2,Patagonia,,Chili_Argentina,-45.296579,288.721316,72.586,83.8,61.4,38,248,,158.605,68.272,"Engbers et al. (2024); original studies: Butler, R.F., Herve, F., Munizaga, F., Beck Jr, M.E., Burmester, R.F., Oviedo, E.S.",https://doi.org/10.1029/90JB02698,Late Cretaceous post-CNS / terminal interval,PSV/directional locality,yes,Aggregated from 38 Engbers site rows; study IDs: 2
Engbers et al. 2024 PSVP,site-level Excel aggregated to locality level,PSVP-L34,Montana,,USA,47.184,111.8504,76.0,85.0,69.0,25,190,,1.603,66.76,"Engbers et al. (2024); original studies: Gunderson, J.A., Sheriff, S.D.",https://doi.org/10.1029/90JB01963,Late Cretaceous post-CNS / terminal interval,PSV/directional locality,yes,Aggregated from 25 Engbers site rows; study IDs: 35
Engbers et al. 2024 PSVP,site-level Excel aggregated to locality level,PSVP-L36,Minusa Trough,,Siberia,54.915625,90.26375,76.125,79.0,74.0,16,243,,192.077,-62.138,"Engbers et al. (2024); original studies: Metelin, D.V., Kazansky, A.Y., Bragin, V.Y., Tsel'movich, V.A., Lavrenchuk, A.V., Kungurtsev, L.V.",https://doi.org/10.1016/j.rgg.2006.03.001,Late Cretaceous post-CNS / terminal interval,PSV/directional locality,yes,Aggregated from 16 Engbers site rows; study IDs: 37
Engbers et al. 2024 PSVP,site-level Excel aggregated to locality level,PSVP-L20,Gongju Basin,,Korea,36.477,127.121,77.75,84.2,71.3,10,112,,202.41,-37.847,"Engbers et al. (2024); original studies: Doh, S.J., Kim, W., Suk, D., Park, Y.H., Cheong, D.",https://doi.org/10.1046/j.1365-246X.2002.01726.x,Late Cretaceous post-CNS / terminal interval,PSV/directional locality,yes,Aggregated from 10 Engbers site rows; study IDs: 23
Engbers et al. 2024 PSVP,site-level Excel aggregated to locality level,PSVP-L15,Lhasa Terrain,,Tibet,31.5604,82.2375,80.0,80.3,78.89999999999999,13,119,,346.423,25.443,"Engbers et al. (2024); original studies: Yi, Z., Huang, B., Yang, L., Tang, X., Yan, Y., Qiao, Q., Zhao, J., Chen, L.",https://doi.org/10.1002/2014TC003571,Late Cretaceous post-CNS / terminal interval,PSV/directional locality,yes,Aggregated from 13 Engbers site rows; study IDs: 19
Engbers et al. 2024 PSVP,site-level Excel aggregated to locality level,PSVP-L42,Chukotka,,Russia,66.407018,177.585088,80.6,81.9,79.3,19,245,,53.701,82.385,"Engbers et al. (2024); original studies: Lebedev, I.E., Tikhomirov, P.L., Pasenko, A.M., Eid, B., Lhuillier, F., Pavlov, V.E.",https://doi.org/10.1134/S1069351321020014,Late Cretaceous post-CNS / terminal interval,PSV/directional locality,yes,Aggregated from 19 Engbers site rows; study IDs: 43
